traits	PA
B/Finland/39/2010_2010-12-30	Y
B/Ulan-Ude/6/2003_2003-03-06	Y
B/Chiba/447/98_1998	Y
B/Beijing-Xicheng/1875/2011_2011-05-03	Y
B/Kouchi/193/99_1999-02-02	Y
B/Shanghai-Baoshan/193/2011_2011-03-07	Y
B/Singapore/04/1991_1991-07-10	Y
B/Brisbane/60/2008_2008-08-04	Y
B/Hawaii/11/2004_2004-06-14	Y
B/Georgia/04/1998_1998	Y
B/Illinois/13/2005_2005-02-03	Y
B/Aichi/1/93_1993	Y
B/Shanghai-Huangpu/171/2011_2011-02-22	Y
B/Fujian-Gulou/1553/2011_2011-08-31	Y
B/Mississippi/UR06-0492/2007_2007-03-02	Y
B/Brisbane/33/2008_2008-07-13	Y
B/Taiwan/500/2005_2005	Y
B/Guangdong-Chikan/1370/2010_2010-07-26	Y
B/Akita/27/2001_2001	Y
B/South_Carolina/NHRC0001/2005_2005-02-15	Y
B/Hubei-Wujiagang/158/2009_2009	Y
B/Managua/4468.03/2010_2010-10-11	Y
B/SYDNEY/508/2010_2010-10-11	Y
B/Florida/7/2004_2004	Y
B/Bangkok/460/03_2003	Y
B/Bolivia/104/2010_2010-03-19	Y
B/Guizhou-Nanming/1443/2010_2010-06-07	Y
B/Houston/B846/2005_2005-01-12	Y
B/Tennessee/UR06-0431/2007_2007-02-26	Y
B/Brisbane/60-3/2010_2010-11-23	Y
B/Tianjin-Hexi/156/2011_2011-02-15	Y
B/Argentina/132/2001_2001-08-07	Y
B/Geneva/5079/03_2003	Y
B/Hunan-Yuhua/11100/2010_2010-09-08	Y
B/Beijing-Xicheng/11082/2010_2010-05-04	Y
B/Yamanashi/166/98_1998	Y
B/Hong_Kong/22/2001_2001-01-18	Y
B/Boston/DB02/2011_2011-03-18	Y
B/Texas/14/1991_1991-01-11	Y
B/Vietnam/92/2011_2011-03-22	Y
B/Shanghai-Fengxian/1550/2010_2010-09-05	Y
B/Fujian-Meilie/1440/2010_2010-08-19	Y
B/Houston/B75/2002_2002-03-20	Y
B/Houston/B77/2002_2002-03-21	Y
B/Beijing/184/93_1993	Y
B/Brisbane/32/2002_2002	Y
B/Beijing/243/97_1997	Y
B/Georgia/09/2005_2005-02-14	Y
B/Fujian-Cangshan/192/2011_2011-02-27	Y
B/Shanghai-Songjiang/176/2011_2011-02-10	Y
B/Taiwan/11/2010_2010-04-06	Y
B/Chongqing-Wanzhou/145/2011_2011-02-03	Y
B/Florida/02/1998_1998-11-11	Y
B/Shanghai-Songjiang/1108/2011_2011-03-02	Y
B/Paraguay/636/2003_2003-12-13	Y
B/Hubei-Wujiagang/1112/2010_2010-08-27	Y
B/Texas/UR06-0590/2007_2007-03-13	Y
B/Georgia/NHRC0001/2003_2003-01-16	Y
B/California/NHRC0008/2005_2005-02-22	Y
B/Cheongju/411/2008_2008-02-19	Y
B/California/NHRC0004/2005_2005-01-27	Y
B/Hunan-Hecheng/1104/2011_2011-03-15	Y
B/Memphis/13/03_2003	Y
B/Shiga/T30/98_1998	Y
B/Hawaii/13/2004_2004-06-21	Y
B/Houston/B68/2000_2000-04-16	Y
B/Taiwan/783/2005_2005-03-23	Y
B/Managua/4485.05/2010_2010-08-10	Y
B/Ohio/UR06-0572/2007_2007-03-12	Y
B/HONG_KONG/2196/2010_2010-11-30	Y
B/Sichuan-Yucheng/1212/2011_2011-04-03	Y
B/Sichuan/379/99_1999	Y
B/Jiangsu-Xinpu/192/2011_2011-03-02	Y
B/Taiwan/2643/2002_2002-05-21	Y
B/Beijing-Xicheng/1846/2010_2010-04-06	Y
B/Fujian-Gulou/1272/2008_2008	Y
B/Hunan-Suxian/54/2011_2011-04-10	Y
B/Jiangxi-Donghu/1329/2010_2010-04-01	Y
B/Brisbane/60-7/2010_2010-09-15	Y
B/Temple/B1166/2001_2001	Y
B/Cheongju/437/2008_2008-02-23	Y
B/Johannesburg/06/1994_1994	Y
B/New_Jersey/NHRC0001/2005_2005-05-16	Y
B/Managua/2090.02/2010_2010-07-15	Y
B/Managua/4772.01/2010_2010-10-08	Y
B/Hong_Kong/1434/2002_2002-01-18	Y
B/Illinois/UR06-0016/2007_2007-01-02	Y
B/Brisbane/60-1/2010_2010-10-07	Y
B/Sichuan-Anyue/139/2011_2011-03-02	Y
B/Lisbon/02/1994_1994-10-26	Y
B/Guangzhou/01/2007_2007-07-12	Y
B/California/02/1995_1995-02-16	Y
B/Managua/1361.01/2010_2010-07-22	Y
B/Hunan-Suxian/56/2011_2011-04-11	Y
B/Guangdong-Dongguanbendi/1721/2010_2010-09-01	Y
B/Illinois/47/2005_2005-03-07	Y
B/Managua/3323.01/2010_2010-08-25	Y
B/California/NHRC0002/2006_2006-03-09	Y
B/Bangkok/153/1990_1990	Y
B/Missouri/NHRC0001/2001_2001-01-19	Y
B/Managua/5839.01/2010_2010-09-04	Y
B/Fujian-Cangshan/1194/2010_2010-05-10	Y
B/Managua/5590.04/2010_2010-06-04	Y
B/California/NHRC0003/2005_2005-01-26	Y
B/Cheju/303/03_2003	Y
B/California/NHRC0004/2003_2003-03-06	Y
B/Temple/B1181/2001_2001	Y
B/Guangdong-Huicheng/1235/2011_2011-06-01	Y
B/Taiwan/70061/2006_2006-01-16	Y
B/Guatemala/52/2012_2012-02-19	Y
B/Michigan/04/2006_2006-04-04	Y
B/Chongqing-Jiulongpo/39/2011_2011-04-12	Y
B/Texas/NHRC0001/2005_2005-04-08	Y
B/Hubei-Wuchang/1108/2011_2011-04-03	Y
B/Florida/UR06-0003/2006_2006-11-16	Y
B/Taiwan/1484/2001_2001-05-25	Y
B/Texas/06/2000_2000-05-03	Y
B/Hong_Kong/557/2000_2000-10-04	Y
B/Houston/B787/2005_2005-01-06	Y
B/Moscow/16/2002_2002-02-22	Y
B/Cambodia/30/2011_2011-01-04	Y
B/St._Petersburg/14/2006_2006-03-14	Y
B/Panama/307237/2010_2010-06-22	Y
B/Taiwan/3001/2006_2006-11-30	Y
B/Temple/B20/2003_2003	Y
