traits	PB1
B/Taiwan/539/2005_2005-02-07	Y
B/Beijing/76/98_1998	Y
B/Houston/B66/2000_2000-03-10	Y
B/Guangdong-Dongguanbendi/1721/2010_2010-09-01	Y
B/Taiwan/383/2005_2005-01-27	Y
B/Jilin/20/2003_2003	Y
B/Romania/217/1999_1999-02-08	Y
B/Houston/B60/1997_1997-02-25	Y
B/Pennsylvania/PIT66/2008_2008-03-05	Y
B/Temple/B8/1999_1999-02-05	Y
B/Temple/B1166/2001_2001	Y
B/Hong_Kong/557/2000_2000-10-04	Y
B/Houston/B745/2005_2005-01-03	Y
B/California/NHRC0008/2005_2005-02-22	Y
B/Temple/B9/1999_1999-02-09	Y
B/Tianjin-Hexi/1112/2011_2011-03-18	Y
B/Aichi/1/93_1993	Y
B/Florida/7/2004_2004	Y
B/Fujian-Xiangcheng/2150/2011_2011-05-30	Y
B/Singapore/35/1998_1998-10-22	Y
B/Israel/95/03_2003	V
B/Memphis/5/93_1993	V
B/Tennessee/UR06-0559/2007_2007-03-08	V
B/North_Carolina/18/2011_2011-02-07	V
B/Akita/27/2001_2001	V
B/Temple/B21/2003_2003	V
B/Panama/307237/2010_2010-06-22	V
B/Guangdong-Chikan/1155/2011_2011-05-03	V
B/Tennessee/UR06-0407/2007_2007-02-23	V
B/Barcelona/215/03_2003	V
B/Hawaii/11/2004_2004-06-14	V
B/Michigan/04/2006_2006-04-04	V
B/Hunan-Suxian/54/2011_2011-04-10	V
B/Texas/UR06-0590/2007_2007-03-13	V
B/Ohio/01/2005_2005-02-23	V
B/Alaska/03/1992_1992-06-13	V
B/Shanghai-Songjiang/1204/2011_2011-05-04	V
B/Beijing-Xicheng/1846/2010_2010-04-06	V
B/Illinois/UR06-0016/2007_2007-01-02	V
B/Jiangsu-Pizhou/529/2011_2011-04-25	V
B/Paraguay/636/2003_2003-12-13	V
B/Victoria/02/1987_1987	V
B/Nanchang/6/98_1998	V
B/Chongqing-Jiulongpo/39/2011_2011-04-12	V
