state	root	nonSwedish
1600000	1958.961117620797	2003.4647339219166
1620000	1968.2608889536848	2004.926409829636
1640000	None	2007.0191018408775
1660000	1964.302491201896	2006.6718074708285
1680000	1960.6819323182235	2004.2779477482588
1700000	1955.1157277137722	2005.843438637038
1720000	None	2001.8844153839123
1740000	1952.130446030008	2003.510624371063
1760000	1937.6751180398912	1999.9754803564078
1780000	None	2000.566435714612
1800000	1950.2577060315539	2003.2151884509808
1820000	None	2005.2854817360117
1840000	1969.4733855606105	2003.453297377554
1860000	None	2003.5951480778485
1880000	1960.942949401649	2005.1716411174966
1900000	1964.178459025465	2005.6054798741786
1920000	1966.4160454586959	2003.203438521726
1940000	1960.5708238742482	2004.4538168096772
1960000	None	2004.1850446463216
1980000	None	2006.3364488434595
2000000	1964.7483098425869	2003.852637482476
2020000	None	2005.589164419376
2040000	None	2007.0361435756208
2060000	1965.1677577869598	2002.8275608822057
2080000	1961.9866721909552	2003.7830831338174
2100000	1959.134479025856	2005.8155912115506
2120000	1961.7437506691463	2005.7840531581242
2140000	1954.0080435515056	2005.3100164407047
2160000	1962.9858792112004	2005.0179878706754
2180000	1970.4271626474708	2006.2819650401825
2200000	None	2002.159552448751
2220000	1960.029719507821	2004.3102170647114
2240000	1956.9540449522817	2003.6311583256017
2260000	1954.1410548736428	2001.8332880694886
2280000	None	2005.6887761982312
2300000	1953.4589923740723	2005.185411449072
2320000	1961.6712894694108	2004.0940431739718
2340000	1945.965014884201	2003.4515110364077
2360000	None	2000.7066972889997
2380000	1949.6725387509382	2001.3491085191295
2400000	None	1998.5592236580067
2420000	1949.812688331027	1999.9758240382193
2440000	1948.2565679042493	1998.7842547450068
2460000	1942.317216805148	2000.6680385841805
2480000	None	1998.4234525668576
2500000	None	2003.2974049121754
2520000	1937.3674300127038	1995.9203321738116
2540000	1950.5872331013413	1996.6550674022253
2560000	1953.6729974432203	1997.1674692362662
2580000	1935.6971552077216	1996.8816856133856
2600000	1936.0394356021206	1997.685272748553
2620000	1945.0231895967577	2000.2901614341913
2640000	None	2000.781198688336
2660000	None	1994.9542107651591
2680000	1943.86171264913	1997.3920803960289
2700000	1948.4194051589793	2002.2053068550922
2720000	1942.1319302598629	1997.0984164538938
2740000	1936.0997096185579	1996.515235258447
2760000	None	2002.1675496642792
2780000	None	2001.1039657713002
2800000	1962.116675718358	2002.8111391655016
2820000	1962.4205161205823	2001.8621620961962
2840000	1960.6062377586863	2000.367681159935
2860000	1964.2867128257228	2001.3614632261433
2880000	None	2001.0188790631314
2900000	None	2003.7434241559517
2920000	1964.0999403420387	2001.3192943326687
2940000	1965.8794617744143	2002.3459670218779
2960000	1951.4599567457897	1999.8762837232316
2980000	1957.6677800817781	2002.1455269036956
3000000	1968.0756499731062	2005.390400486212
3020000	1961.347745747858	2004.5062384293647
3040000	1955.1308340171015	2003.138219452274
3060000	None	2000.8353415264596
3080000	1951.3084302857226	2000.6704856555893
3100000	None	2003.2464254225126
3120000	None	2000.0475501297376
3140000	1947.2703368860225	2002.8399918553375
